Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-CA,mixed,Quito,214,1,False,19,3,10,N/A,4,112.12414128224886,0.5668844351546026,0.04880078138454439,5.0,7.0,2,3.7904526633957403,1.0,4.0,1.468382072813856
VST-CA,pure,Quito,214,1,False,19,3,10,N/A,4,112.12414128224886,0.5668844351546026,0.04880078138454439,5.0,7.0,2,4.278947881595627,1.0,4.0,1.468382072813856
VST-NCA,N/A,Quito,175,2,False,20,6,10,N/A,30,82.27466437365871,0.7837699252532999,0.10936792418875993,4.0,4.0,0,4.373279236838357,1.0,4.0,2.1769999702950784
VST-CA,mixed,Quito,175,2,False,20,6,10,N/A,30,82.27466437365871,0.7837699252532999,0.10936792418875993,4.0,4.0,2,5.950688660539413,1.0,4.0,2.1769999702950784
VST-CA,pure,Quito,175,2,False,20,6,10,N/A,30,82.27466437365871,0.7837699252532999,0.10936792418875993,4.0,4.0,2,5.822085138819602,1.0,4.0,2.1769999702950784
VST-NCA,N/A,Quito,303,1,False,21,3,10,N/A,18,13.547034665000874,0.4522239729535032,0.023476577402118826,3.0,4.0,0,5.086805847505843,1.0,4.0,1.2879778859414612
VST-CA,mixed,Quito,303,1,False,21,3,10,N/A,18,6.750924676197286,0.4600777435157479,0.023476577402118826,3.0,3.0,3,6.645298077450661,1.0,4.0,1.2311050924547113
VST-CA,pure,Quito,303,1,False,21,3,10,N/A,18,6.750924676197286,0.4600777435157479,0.023476577402118826,3.0,3.0,3,8.617678232437243,1.0,4.0,1.2311050924547113
VST-NCA,N/A,Quito,195,1,False,22,3,10,N/A,7,186.8863432383566,0.6671564434436603,0.03771951153146868,3.0,7.0,0,4.59792377462793,1.0,4.0,1.5578685973609954
VST-CA,mixed,Quito,195,1,False,22,3,10,N/A,7,186.8863432383566,0.6671564434436603,0.03771951153146868,3.0,7.0,2,3.9418588998879613,1.0,4.0,1.5578685973609954
VST-CA,pure,Quito,195,1,False,22,3,10,N/A,7,186.8863432383566,0.6671564434436603,0.03771951153146868,3.0,7.0,2,3.9801705397530895,1.0,4.0,1.5578685973609954
VST-NCA,N/A,Quito,500,3,False,23,7,10,N/A,52,2.6179306886172293,0.17708038852817698,0.0064659031147585285,1.3333333333333333,2.0,0,5.353736364852921,1.0,4.0,1.4466714904564766
VST-CA,mixed,Quito,500,3,False,23,7,10,N/A,52,1.7240924034453426,0.1739458842122704,0.0040925383996284065,0.3333333333333333,1.6666666666666667,3,8.983921845881014,1.0,4.0,1.4737792099138922
VST-CA,pure,Quito,500,3,False,23,7,10,N/A,52,1.7240924034453426,0.1739458842122704,0.0040925383996284065,0.3333333333333333,1.6666666666666667,3,10.946981961124266,1.0,4.0,1.4737792099138922
VST-NCA,N/A,Quito,471,2,False,24,4,10,N/A,36,1.80953904585034,0.15909506010762425,0.0054107702663186135,1.5,2.5,0,15.634429434746153,1.0,4.0,1.1693845815958372
VST-CA,mixed,Quito,471,2,False,24,4,10,N/A,36,1.80953904585034,0.15909506010762425,0.0054107702663186135,1.5,2.5,2,5.39782398191096,1.0,4.0,1.1693845815958372
