Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users query,Prop POIs,Total.POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-CA,mixed,Melbourne,568,2,False,22,4,10,N/A,14,6.031664111042616,0.1596609359629086,0.007782064985116155,1.5,3.5,2,8.671462480425362,1.0,4.0,1.1985012872014582
VST-CA,pure,Melbourne,568,2,False,22,4,10,N/A,14,1.7575303002848977,0.16111210098391487,0.007782064985116155,1.5,2.5,3,16.973075309158048,1.0,4.0,1.1982733485278716
VST-NCA,N/A,Melbourne,367,1,False,23,3,10,N/A,3,23.576018809597727,0.3947858185925333,0.017160095090728897,3.0,5.0,0,3.911219219887812,1.0,4.0,1.308578691615987
VST-CA,mixed,Melbourne,367,1,False,23,3,10,N/A,3,11.367879316259328,0.45918444920343215,0.013636728757666425,2.0,4.0,3,9.594403397057704,1.0,4.0,1.3632438610687854
VST-CA,pure,Melbourne,367,1,False,23,3,10,N/A,3,11.367879316259328,0.45918444920343215,0.013636728757666425,2.0,4.0,3,12.972098698470859,1.0,4.0,1.3632438610687854
VST-NCA,N/A,Melbourne,274,2,False,24,4,10,N/A,6,6.4980725044114,0.32599119505400465,0.021208128591318053,2.0,2.0,0,6.894854082757661,1.0,4.0,1.7555631690535134
VST-CA,mixed,Melbourne,274,2,False,24,4,10,N/A,6,6.4980725044114,0.32599119505400465,0.021208128591318053,2.0,2.0,2,6.806987148134908,1.0,4.0,1.7555631690535134
VST-CA,pure,Melbourne,274,2,False,24,4,10,N/A,6,6.4980725044114,0.32599119505400465,0.021208128591318053,2.0,2.0,2,7.174829892497883,1.0,4.0,1.7555631690535134
VST-NCA,N/A,Melbourne,305,1,False,25,2,10,N/A,4,5.297629418095046,0.46187981480844637,0.025269428468189196,2.0,4.0,0,4.851042790469592,1.0,4.0,1.2010772760945718
VST-CA,mixed,Melbourne,305,1,False,25,2,10,N/A,4,5.297629418095046,0.46187981480844637,0.025269428468189196,2.0,4.0,2,6.011123256242627,1.0,4.0,1.2010772760945718
VST-CA,pure,Melbourne,305,1,False,25,2,10,N/A,4,5.297629418095046,0.46187981480844637,0.025269428468189196,2.0,4.0,2,7.603520535470011,1.0,4.0,1.2010772760945718
VST-NCA,N/A,Melbourne,320,1,False,26,3,10,N/A,3,70.30892238868331,0.45308492069123774,0.01726022600728858,4.0,5.0,0,4.764090096085965,1.0,4.0,1.5155190468248612
VST-CA,mixed,Melbourne,320,1,False,26,3,10,N/A,3,70.30892238868331,0.45308492069123774,0.01726022600728858,4.0,5.0,2,7.78149500385075,1.0,4.0,1.5155190468248612
VST-CA,pure,Melbourne,320,1,False,26,3,10,N/A,3,15.440740538086523,0.5181851813816905,0.013434410976027584,1.0,4.0,3,10.646577855885539,1.0,4.0,1.6070338018476673
VST-NCA,N/A,Melbourne,316,1,False,27,1,10,N/A,2,1.450413658128164,0.14287209772268078,0.008618177368470176,1.0,3.0,0,0.42558712105505947,1.0,4.0,0.826041036544949
VST-CA,mixed,Melbourne,316,1,False,27,1,10,N/A,2,1.450413658128164,0.14287209772268078,0.008618177368470176,1.0,3.0,2,1.3438743338106178,1.0,4.0,0.826041036544949
VST-CA,pure,Melbourne,316,1,False,27,1,10,N/A,2,1.450413658128164,0.14287209772268078,0.008618177368470176,1.0,3.0,2,1.2510678965487614,1.0,4.0,0.826041036544949
VST-NCA,N/A,Melbourne,503,3,False,28,8,10,N/A,23,20.96007188976785,0.26516066104672903,0.008654766440901992,2.3333333333333335,4.0,0,12.22737462651753,1.0,4.0,2.0236959401246732
VST-CA,mixed,Melbourne,503,3,False,28,8,10,N/A,23,20.96007188976785,0.26516066104672903,0.008654766440901992,2.3333333333333335,4.0,2,22.286692080650482,1.0,4.0,2.0236959401246732
VST-CA,pure,Melbourne,503,3,False,28,8,10,N/A,23,20.96007188976785,0.26516066104672903,0.008654766440901992,2.3333333333333335,4.0,2,34.32057739244942,1.0,4.0,2.0236959401246732
VST-NCA,N/A,Melbourne,342,1,False,29,3,10,N/A,5,25.94674884521526,0.37774972248606964,0.01623854891046844,3.0,5.0,0,3.768572083855929,1.0,4.0,1.3596560873098271
VST-CA,mixed,Melbourne,342,1,False,29,3,10,N/A,5,25.94674884521526,0.37774972248606964,0.01623854891046844,3.0,5.0,2,7.377913597981433,1.0,4.0,1.3596560873098271
VST-CA,pure,Melbourne,342,1,False,29,3,10,N/A,5,25.94674884521526,0.37774972248606964,0.01623854891046844,3.0,5.0,2,10.72887960963999,1.0,4.0,1.3596560873098271
VST-NCA,N/A,Melbourne,292,1,False,30,3,10,N/A,5,20.221686627439283,0.38846705553332267,0.013850776916585695,3.0,6.0,0,4.810363442075072,1.0,4.0,1.4990862442939463
VST-CA,mixed,Melbourne,292,1,False,30,3,10,N/A,5,20.221686627439283,0.38846705553332267,0.013850776916585695,3.0,6.0,2,6.101610933934353,1.0,4.0,1.4990862442939463
VST-CA,pure,Melbourne,292,1,False,30,3,10,N/A,5,20.221686627439283,0.38846705553332267,0.013850776916585695,3.0,6.0,2,7.1834820157971535,1.0,4.0,1.4990862442939463
VST-NCA,N/A,Melbourne,475,1,False,31,1,10,N/A,1,2.828244234044706,0.15753433767544706,0.011162745593182108,3.0,3.0,0,2.4201103641131567,1.0,4.0,0.6524208606945067
VST-CA,mixed,Melbourne,475,1,False,31,1,10,N/A,1,2.828244234044706,0.15753433767544706,0.011162745593182108,3.0,3.0,2,7.280384375650101,1.0,4.0,0.6524208606945067
VST-CA,pure,Melbourne,475,1,False,31,1,10,N/A,1,2.828244234044706,0.15753433767544706,0.011162745593182108,3.0,3.0,2,7.191615043278489,1.0,4.0,0.6524208606945067
VST-NCA,N/A,Melbourne,229,1,False,32,1,10,N/A,1,5.157483182539368,0.17385415686919753,0.012613511184743971,3.0,3.0,0,0.4216909417976922,1.0,4.0,0.8834824920027304
VST-CA,mixed,Melbourne,229,1,False,32,1,10,N/A,1,5.157483182539368,0.17385415686919753,0.012613511184743971,3.0,3.0,2,1.9488562325644807,1.0,4.0,0.8834824920027304
VST-CA,pure,Melbourne,229,1,False,32,1,10,N/A,1,5.157483182539368,0.17385415686919753,0.012613511184743971,3.0,3.0,2,1.6766625178476033,1.0,4.0,0.8834824920027304
VST-NCA,N/A,Melbourne,86,1,False,33,1,10,N/A,1,1.8824786497618415,0.4063832755512441,0.08857425098513785,1.0,3.0,0,0.19020578695131007,1.0,4.0,1.2296218401205743
VST-CA,mixed,Melbourne,86,1,False,33,1,10,N/A,1,1.8824786497618415,0.4063832755512441,0.08857425098513785,1.0,3.0,2,0.54183497805775,1.0,4.0,1.2296218401205743
VST-CA,pure,Melbourne,86,1,False,33,1,10,N/A,1,1.8824786497618415,0.4063832755512441,0.08857425098513785,1.0,3.0,2,0.47685997163330285,1.0,4.0,1.2296218401205743
VST-NCA,N/A,Melbourne,438,1,False,34,3,10,N/A,4,251.86990436906933,0.5271184590342092,0.039792964995440855,6.0,6.0,0,10.109397765953759,1.0,4.0,1.4057137545803202
VST-CA,mixed,Melbourne,438,1,False,34,3,10,N/A,4,251.86990436906933,0.5271184590342092,0.039792964995440855,6.0,6.0,2,14.978511012134163,1.0,4.0,1.4057137545803202
VST-CA,pure,Melbourne,438,1,False,34,3,10,N/A,4,251.86990436906933,0.5271184590342092,0.039792964995440855,6.0,6.0,2,16.490316987933625,1.0,4.0,1.4057137545803202
VST-NCA,N/A,Melbourne,191,1,False,35,2,10,N/A,4,8.573159781038942,0.5134536687110705,0.022673425862108132,2.0,4.0,0,3.574317744274026,1.0,4.0,1.5162390998351145
VST-CA,mixed,Melbourne,191,1,False,35,2,10,N/A,4,8.573159781038942,0.5134536687110705,0.022673425862108132,2.0,4.0,2,5.79222903691732,1.0,4.0,1.5162390998351145
VST-CA,pure,Melbourne,191,1,False,35,2,10,N/A,4,8.573159781038942,0.5134536687110705,0.022673425862108132,2.0,4.0,2,4.143394002410332,1.0,4.0,1.5162390998351145
VST-NCA,N/A,Melbourne,249,1,False,36,3,10,N/A,3,129.2973226996279,0.7359331046685651,0.0289790936346813,3.0,7.0,0,4.657964804908829,1.0,4.0,1.8247717500219756
VST-CA,mixed,Melbourne,249,1,False,36,3,10,N/A,3,129.2973226996279,0.7359331046685651,0.0289790936346813,3.0,7.0,2,6.1915874108013895,1.0,4.0,1.8247717500219756
VST-CA,pure,Melbourne,249,1,False,36,3,10,N/A,3,129.2973226996279,0.7359331046685651,0.0289790936346813,3.0,7.0,2,7.283987650651284,1.0,4.0,1.8247717500219756
VST-NCA,N/A,Melbourne,1296,4,False,37,10,10,N/A,132,1.4524824859016172,0.09856871904047394,0.0013386061145632992,0.75,1.0,0,9.548889154687004,1.0,4.0,1.21631058048267
VST-CA,mixed,Melbourne,1296,4,False,37,10,10,N/A,132,1.392171464077226,0.09838796575547182,0.0012790640527637505,0.5,1.0,4,22.83177387475621,1.0,4.0,1.2082847359575217
VST-CA,pure,Melbourne,1296,4,False,37,10,10,N/A,132,1.392171464077226,0.09838796575547182,0.0012790640527637505,0.5,1.0,3,26.326712986593066,1.0,4.0,1.2082847359575217
VST-NCA,N/A,Melbourne,353,1,False,38,2,10,N/A,2,4.902405802686923,0.2878776081399264,0.011044348124081874,2.0,3.0,0,5.1432988677395315,1.0,4.0,1.151059936591692
VST-CA,mixed,Melbourne,353,1,False,38,2,10,N/A,2,4.902405802686923,0.2878776081399264,0.011044348124081874,2.0,3.0,2,6.4580146223172505,1.0,4.0,1.151059936591692
