Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-NCA,N/A,Melbourne,295,2,False,6,3,10,N/A,5,2.9132594039468187,0.26220891665945795,0.01198406409536412,0.5,2.5,0,5.549392065768444,1.0,4.0,1.495280492584204
VST-CA,mixed,Melbourne,295,2,False,6,3,10,N/A,5,2.9132594039468187,0.26220891665945795,0.01198406409536412,0.5,2.5,2,8.084268791367293,1.0,4.0,1.495280492584204
VST-CA,pure,Melbourne,295,2,False,6,3,10,N/A,5,2.9132594039468187,0.26220891665945795,0.01198406409536412,0.5,2.5,2,7.915760814858061,1.0,4.0,1.495280492584204
VST-NCA,N/A,Melbourne,339,4,False,7,6,10,N/A,14,1.4271950176245816,0.17645720666579748,0.004920208546875299,0.75,1.5,0,5.819812959710674,1.0,4.0,1.8817937463541452
VST-CA,mixed,Melbourne,339,4,False,7,6,10,N/A,14,1.4271950176245816,0.17645720666579748,0.004920208546875299,0.75,1.5,2,9.378796652996499,1.0,4.0,1.8817937463541452
VST-CA,pure,Melbourne,339,4,False,7,6,10,N/A,14,1.4271950176245816,0.17645720666579748,0.004920208546875299,0.75,1.5,2,9.093104473263793,1.0,4.0,1.8817937463541452
VST-NCA,N/A,Melbourne,649,2,False,8,2,10,N/A,2,1.4359811120453065,0.13257795058316235,0.006425517130911526,2.0,2.0,0,9.259901209947202,1.0,4.0,0.9059908251891656
VST-CA,mixed,Melbourne,649,2,False,8,2,10,N/A,2,1.4359811120453065,0.13257795058316235,0.006425517130911526,2.0,2.0,2,16.887493185633787,1.0,4.0,0.9059908251891656
VST-CA,pure,Melbourne,649,2,False,8,2,10,N/A,2,1.4359811120453065,0.13257795058316235,0.006425517130911526,2.0,2.0,2,17.490583049212233,1.0,4.0,0.9059908251891656
VST-NCA,N/A,Melbourne,122,2,False,9,2,10,N/A,2,1.5384678642298,0.33411711077376105,0.017195289543088937,1.5,2.0,0,3.418435836006779,1.0,4.0,1.7631313243767575
VST-CA,mixed,Melbourne,122,2,False,9,2,10,N/A,2,1.5384678642298,0.33411711077376105,0.017195289543088937,1.5,2.0,2,3.6992808845234606,1.0,4.0,1.7631313243767575
VST-CA,pure,Melbourne,122,2,False,9,2,10,N/A,2,1.5384678642298,0.33411711077376105,0.017195289543088937,1.5,2.0,2,4.676798311734615,1.0,4.0,1.7631313243767575
VST-NCA,N/A,Melbourne,401,4,False,10,6,10,N/A,10,1.855287933037483,0.1771311678431797,0.005010878849806025,0.5,1.75,0,5.615392631839484,1.0,4.0,1.817428867632522
VST-CA,mixed,Melbourne,401,4,False,10,6,10,N/A,10,1.855287933037483,0.1771311678431797,0.005010878849806025,0.5,1.75,2,7.8023610767349965,1.0,4.0,1.817428867632522
VST-CA,pure,Melbourne,401,4,False,10,6,10,N/A,10,1.855287933037483,0.1771311678431797,0.005010878849806025,0.5,1.75,2,7.673660841345793,1.0,4.0,1.817428867632522
VST-NCA,N/A,Melbourne,215,4,False,11,5,10,N/A,6,2.8100832457247855,0.23935134689203316,0.012591133930395348,1.25,2.75,0,4.803349529912396,1.0,4.0,2.3446283918625186
VST-CA,mixed,Melbourne,215,4,False,11,5,10,N/A,6,2.8100832457247855,0.23935134689203316,0.012591133930395348,1.25,2.75,2,7.1072771707185325,1.0,4.0,2.3446283918625186
VST-CA,pure,Melbourne,215,4,False,11,5,10,N/A,6,2.8100832457247855,0.23935134689203316,0.012591133930395348,1.25,2.75,2,7.496877332723841,1.0,4.0,2.3446283918625186
VST-NCA,N/A,Melbourne,159,2,False,12,3,10,N/A,4,8.503512891772944,0.37097664834085015,0.02721600706770901,1.0,3.5,0,3.3318818387913325,1.0,4.0,1.7599130231895497
VST-CA,mixed,Melbourne,159,2,False,12,3,10,N/A,4,8.503512891772944,0.37097664834085015,0.02721600706770901,1.0,3.5,2,3.7593677057662376,1.0,4.0,1.7599130231895497
VST-CA,pure,Melbourne,159,2,False,12,3,10,N/A,4,8.503512891772944,0.37097664834085015,0.02721600706770901,1.0,3.5,2,4.0705224235577475,1.0,4.0,1.7599130231895497
VST-NCA,N/A,Melbourne,144,1,False,13,1,10,N/A,13,2.3926826946327733,0.2851336775170341,0.04556103998354188,2.0,2.0,0,0.2909490611076535,1.0,4.0,0.8194739438345435
VST-CA,mixed,Melbourne,144,1,False,13,1,10,N/A,13,2.3926826946327733,0.2851336775170341,0.04556103998354188,2.0,2.0,2,0.6465924616234133,1.0,4.0,0.8194739438345435
VST-CA,pure,Melbourne,144,1,False,13,1,10,N/A,13,2.3926826946327733,0.2851336775170341,0.04556103998354188,2.0,2.0,2,0.7150531076470656,1.0,4.0,0.8194739438345435
VST-NCA,N/A,Melbourne,265,1,False,14,1,10,N/A,1,0.8986765473543112,0.16371321193807065,0.007982309389013046,2.0,2.0,0,0.645614271937518,1.0,4.0,0.7980285355842718
VST-CA,mixed,Melbourne,265,1,False,14,1,10,N/A,1,0.8986765473543112,0.16371321193807065,0.007982309389013046,2.0,2.0,2,1.6728073925560238,1.0,4.0,0.7980285355842718
VST-CA,pure,Melbourne,265,1,False,14,1,10,N/A,1,0.8986765473543112,0.16371321193807065,0.007982309389013046,2.0,2.0,2,1.756103520732836,1.0,4.0,0.7980285355842718
VST-NCA,N/A,Melbourne,47,2,False,15,2,10,N/A,2,0.9400307762696956,0.45752772469593506,0.03713403236910384,1.0,2.0,0,15.180520603761693,1.0,4.0,2.076412280351714
VST-CA,mixed,Melbourne,47,2,False,15,2,10,N/A,2,0.9400307762696956,0.45752772469593506,0.03713403236910384,1.0,2.0,2,3.0653077803976316,1.0,4.0,2.076412280351714
VST-CA,pure,Melbourne,47,2,False,15,2,10,N/A,2,0.9400307762696956,0.45752772469593506,0.03713403236910384,1.0,2.0,2,3.307394727170731,1.0,4.0,2.076412280351714
VST-NCA,N/A,Melbourne,167,1,False,16,1,10,N/A,1,2.072743671231539,0.20378451265938674,0.018930417050728354,3.0,3.0,0,0.2911495939407587,1.0,4.0,0.8307645505868508
VST-CA,mixed,Melbourne,167,1,False,16,1,10,N/A,1,2.072743671231539,0.20378451265938674,0.018930417050728354,3.0,3.0,2,1.150617131898855,1.0,4.0,0.8307645505868508
VST-CA,pure,Melbourne,167,1,False,16,1,10,N/A,1,2.072743671231539,0.20378451265938674,0.018930417050728354,3.0,3.0,2,1.1912988487915754,1.0,4.0,0.8307645505868508
VST-NCA,N/A,Melbourne,128,2,False,17,3,10,N/A,3,6.003130775762276,0.4433032510426392,0.04086577336637938,1.0,3.0,0,3.7774934264310787,1.0,4.0,1.9893799457739743
VST-CA,mixed,Melbourne,128,2,False,17,3,10,N/A,3,6.003130775762276,0.4433032510426392,0.04086577336637938,1.0,3.0,2,4.989859670439273,1.0,4.0,1.9893799457739743
VST-CA,pure,Melbourne,128,2,False,17,3,10,N/A,3,6.003130775762276,0.4433032510426392,0.04086577336637938,1.0,3.0,2,4.432472739574564,1.0,4.0,1.9893799457739743
VST-NCA,N/A,Melbourne,296,2,False,18,3,10,N/A,4,13.91225977049335,0.3434521749591591,0.042652833945352873,3.0,3.0,0,4.602545898531218,1.0,4.0,1.5531911865696757
VST-CA,mixed,Melbourne,296,2,False,18,3,10,N/A,4,13.91225977049335,0.3434521749591591,0.042652833945352873,3.0,3.0,2,6.051394038727267,1.0,4.0,1.5531911865696757
