Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-CA,pure,zipfian,900,6,False,1,16,16,0.1,1,4828.619175081031,0.1355973149191514,0.001198867728471715,3.0,3.3333333333333335,2,158.80405652657396,1.0,4.0,2.2655051034061127
VST-CA,pure,uniform,900,6,False,1,16,16,0.1,1,4727.9209257866205,0.13675187458075289,0.0013320752538574611,3.3333333333333335,3.3333333333333335,2,145.08599187368304,1.0,4.0,2.2845068194370297
VST-NCA,N/A,zipfian,900,6,False,2,16,16,0.1,1,3308.7607849494075,0.14451120036588813,0.0011929490170599813,1.6666666666666667,3.1666666666666665,0,79.16561485616694,1.0,4.0,2.3361988157984173
VST-NCA,N/A,uniform,900,6,False,2,16,16,0.1,1,2642.328550951682,0.1423425420627757,0.001643774608151057,2.0,3.0,0,79.68337207801369,1.0,4.0,2.297456723283901
VST-CA,mixed,zipfian,900,6,False,2,16,16,0.1,1,3308.7607849494075,0.14451120036588813,0.0011929490170599813,1.6666666666666667,3.1666666666666665,2,145.35576972041054,1.0,4.0,2.3361988157984173
VST-CA,mixed,uniform,900,6,False,2,16,16,0.1,1,2642.328550951682,0.1423425420627757,0.001643774608151057,2.0,3.0,2,148.7293659412353,1.0,4.0,2.297456723283901
VST-CA,pure,zipfian,900,6,False,2,16,16,0.1,1,3308.7607849494075,0.14451120036588813,0.0011929490170599813,1.6666666666666667,3.1666666666666665,2,167.80612067260608,1.0,4.0,2.3361988157984173
VST-CA,pure,uniform,900,6,False,2,16,16,0.1,1,2642.328550951682,0.1423425420627757,0.001643774608151057,2.0,3.0,2,163.28328183823874,1.0,4.0,2.297456723283901
VST-NCA,N/A,zipfian,900,6,False,3,16,16,0.1,1,4371.376903610184,0.13626214190633665,0.001198867728471715,3.0,3.1666666666666665,0,76.0599158946352,1.0,4.0,2.2676702193222176
VST-NCA,N/A,uniform,900,6,False,3,16,16,0.1,1,2212.5786062072543,0.13283985740844076,0.0012328309561132928,1.5,2.3333333333333335,0,68.1816515615701,1.0,4.0,2.230127907465212
VST-CA,mixed,zipfian,900,6,False,3,16,16,0.1,1,4371.376903610184,0.13626214190633665,0.001198867728471715,3.0,3.1666666666666665,2,132.85814710030672,1.0,4.0,2.2676702193222176
VST-CA,mixed,uniform,900,6,False,3,16,16,0.1,1,1803.2980544755549,0.1328275485949748,0.0011428852216891574,1.1666666666666667,2.1666666666666665,3,174.10434102266208,1.0,4.0,2.244951410477144
VST-CA,pure,zipfian,900,6,False,3,16,16,0.1,1,4371.376903610184,0.13626214190633665,0.001198867728471715,3.0,3.1666666666666665,2,150.69460152191778,1.0,4.0,2.2676702193222176
VST-CA,pure,uniform,900,6,False,3,16,16,0.1,1,1803.2980544755549,0.1328275485949748,0.0011428852216891574,1.1666666666666667,2.1666666666666665,3,198.15866686719983,1.0,4.0,2.244951410477144
VST-NCA,N/A,zipfian,900,6,False,4,16,16,0.1,1,5172.781629850959,0.14621368505966395,0.001198867728471715,3.0,3.0,0,102.74265795217298,1.0,4.0,2.3259080791406244
VST-NCA,N/A,uniform,900,6,False,4,16,16,0.1,1,3961.6747876690256,0.1379131170360568,0.0017208676011194754,1.6666666666666667,3.1666666666666665,0,78.76259794232783,1.0,4.0,2.3075042201172162
VST-CA,mixed,zipfian,900,6,False,4,16,16,0.1,1,5172.781629850959,0.14621368505966395,0.001198867728471715,3.0,3.0,2,146.99741004740554,1.0,4.0,2.3259080791406244
VST-CA,mixed,uniform,900,6,False,4,16,16,0.1,1,3961.6747876690256,0.1379131170360568,0.0017208676011194754,1.6666666666666667,3.1666666666666665,2,120.55599741202104,1.0,4.0,2.3075042201172162
VST-CA,pure,zipfian,900,6,False,4,16,16,0.1,1,5172.781629850959,0.14621368505966395,0.001198867728471715,3.0,3.0,2,170.4643610127855,1.0,4.0,2.3259080791406244
VST-CA,pure,uniform,900,6,False,4,16,16,0.1,1,3961.6747876690256,0.1379131170360568,0.0017208676011194754,1.6666666666666667,3.1666666666666665,2,148.61631792506932,1.0,4.0,2.3075042201172162
VST-NCA,N/A,zipfian,900,11,False,0,32,16,0.1,1,7765.369598715848,0.1488143281538262,0.0024405031434058012,2.3636363636363638,3.0,0,143.39689947818033,1.0,4.0,3.0239681509180705
VST-NCA,N/A,uniform,900,11,False,0,32,16,0.1,1,6240.566730746026,0.15410844542647853,0.0017834446047965472,1.7272727272727273,2.727272727272727,0,177.18678567579764,1.0,4.0,3.0369550980822684
VST-CA,mixed,zipfian,900,11,False,0,32,16,0.1,1,7765.369598715848,0.1488143281538262,0.0024405031434058012,2.3636363636363638,3.0,2,236.84202512897446,1.0,4.0,3.0239681509180705
VST-CA,mixed,uniform,900,11,False,0,32,16,0.1,1,6240.566730746026,0.15410844542647853,0.0017834446047965472,1.7272727272727273,2.727272727272727,2,321.6075280341347,1.0,4.0,3.0369550980822684
VST-CA,pure,zipfian,900,11,False,0,32,16,0.1,1,7765.369598715848,0.1488143281538262,0.0024405031434058012,2.3636363636363638,3.0,2,305.55881118767957,1.0,4.0,3.0239681509180705
VST-CA,pure,uniform,900,11,False,0,32,16,0.1,1,6240.566730746026,0.15410844542647853,0.0017834446047965472,1.7272727272727273,2.727272727272727,2,327.1407890493283,1.0,4.0,3.0369550980822684
VST-NCA,N/A,zipfian,900,11,False,1,32,16,0.1,1,9198.205440535095,0.1557679415296164,0.002815965165468232,2.727272727272727,3.0,0,136.66483029119445,1.0,4.0,3.0665502918370855
VST-NCA,N/A,uniform,900,11,False,1,32,16,0.1,1,6932.84002368985,0.15111291505846133,0.0016030078434081689,1.6363636363636365,2.909090909090909,0,135.9535952023698,1.0,4.0,3.034549375732502
