Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users query,Prop POIs,Num POIs query,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-CA,pure,uniform,900,8,False,3,16,8,0.1,1,438.7223794263485,0.06147784355728391,0.00058684442758115,0.625,1.125,3,72.26935803356082,0.15,4.0,1.8099849903648377
VST-NCA,N/A,zipfian,900,8,False,4,16,8,0.1,1,446.0394646428283,0.05897450673241781,0.0007208520565589942,1.625,1.75,0,21.725251706266135,0.15,4.0,1.7708799153874808
VST-NCA,N/A,uniform,900,8,False,4,16,8,0.1,1,406.2794221473663,0.056326996748846184,0.0006453253504198032,0.625,1.375,0,18.64023143634222,0.15,4.0,1.740175691719242
VST-CA,mixed,zipfian,900,8,False,4,16,8,0.1,1,431.6520384254223,0.05894821973699131,0.0006099517401653027,1.375,1.5,3,45.546041976703236,0.15,4.0,1.7754010862827103
VST-CA,mixed,uniform,900,8,False,4,16,8,0.1,1,406.10752283191397,0.056304873561131584,0.0006453253504198032,0.625,1.375,3,39.39132857802633,0.15,4.0,1.7455259499847204
VST-CA,pure,zipfian,900,8,False,4,16,8,0.1,1,431.6520384254223,0.05894821973699131,0.0006099517401653027,1.375,1.5,3,58.66251552316862,0.15,4.0,1.7754010862827103
VST-CA,pure,uniform,900,8,False,4,16,8,0.1,1,405.65434342604385,0.056291887351457966,0.0006453253504198032,0.625,1.375,3,53.39747677939067,0.15,4.0,1.7484180232907378
VST-NCA,N/A,zipfian,900,16,False,0,16,16,0.1,1,714.6062566209105,0.05056781045840716,0.0003945273923230897,0.6875,1.0625,0,40.14791758608317,0.15,4.0,2.2789263156818476
VST-NCA,N/A,uniform,900,16,False,0,16,16,0.1,1,753.4871488694404,0.05306602897251058,0.0005807928153778229,0.5625,1.5,0,58.49951762713681,0.15,4.0,2.292546933114611
VST-CA,mixed,zipfian,900,16,False,0,16,16,0.1,1,712.4220511553392,0.05048337322245317,0.00041094365203776426,0.5,1.0625,3,95.57154513265232,0.15,4.0,2.2781910486643246
VST-CA,mixed,uniform,900,16,False,0,16,16,0.1,1,747.4118255462903,0.052845497310008045,0.0006453253504198032,0.625,1.375,4,135.0436537178639,0.15,4.0,2.2922418237133
VST-CA,pure,zipfian,900,16,False,0,16,16,0.1,1,712.2552101739724,0.050444595632589295,0.00041094365203776426,0.5,1.0625,4,159.338312721301,0.15,4.0,2.279030579875792
VST-CA,pure,uniform,900,16,False,0,16,16,0.1,1,743.5876499472022,0.052602036663860416,0.0006453253504198032,0.625,1.375,4,218.9334520449529,0.15,4.0,2.281443647728607
VST-NCA,N/A,zipfian,900,16,False,1,16,16,0.1,1,724.5600590387512,0.05084899309468181,0.0004495753981768931,1.125,1.25,0,49.12279622312326,0.15,4.0,2.2655051034061127
VST-NCA,N/A,uniform,900,16,False,1,16,16,0.1,1,730.3087544104574,0.05128195296778235,0.0004995282201965479,1.25,1.25,0,52.51534561502558,0.15,4.0,2.28450681943703
VST-CA,mixed,zipfian,900,16,False,1,16,16,0.1,1,724.2177693124041,0.0508174085090779,0.0004495753981768931,1.125,1.25,3,115.61519936367858,0.15,4.0,2.2547979378925542
VST-CA,mixed,uniform,900,16,False,1,16,16,0.1,1,720.7911133928537,0.05095525766594174,0.0004693534360654532,0.5,1.0625,4,134.62458870015962,0.15,4.0,2.2867622269642576
VST-CA,pure,zipfian,900,16,False,1,16,16,0.1,1,724.2177693124041,0.0508174085090779,0.0004495753981768931,1.125,1.25,3,141.89359880946267,0.15,4.0,2.2547979378925542
VST-CA,pure,uniform,900,16,False,1,16,16,0.1,1,720.7911133928537,0.05095525766594174,0.0004693534360654532,0.5,1.0625,3,153.86111304972565,0.15,4.0,2.2867622269642576
VST-NCA,N/A,zipfian,900,16,False,2,16,16,0.1,1,766.7411855614116,0.054191700137208004,0.00044735588139749294,0.625,1.1875,0,51.736750141119956,0.15,4.0,2.3361988157984177
VST-NCA,N/A,uniform,900,16,False,2,16,16,0.1,1,753.4052591790257,0.053378453273540925,0.0006164154780566464,0.75,1.125,0,47.04423564427543,0.15,4.0,2.2974567232839016
VST-CA,mixed,zipfian,900,16,False,2,16,16,0.1,1,767.0804870392452,0.05414524810258669,0.00044735588139749294,0.625,1.25,3,116.14233078462621,0.15,4.0,2.3334434486467988
VST-CA,mixed,uniform,900,16,False,2,16,16,0.1,1,753.5827632204149,0.05335886077112617,0.0006334877531006962,0.75,1.1875,5,151.76235182429355,0.15,4.0,2.301603432018714
VST-CA,pure,zipfian,900,16,False,2,16,16,0.1,1,761.7973490351701,0.05392877277457734,0.0004226373826900193,0.5,1.125,5,276.5201477908349,0.15,4.0,2.3328016634330866
VST-CA,pure,uniform,900,16,False,2,16,16,0.1,1,752.3796806039265,0.053294616156505735,0.0006334877531006962,0.75,1.125,6,287.18806589008,0.15,4.0,2.300150524212129
VST-NCA,N/A,zipfian,900,16,False,3,16,16,0.1,1,726.6859939836498,0.05109830321487634,0.0004495753981768931,1.125,1.1875,0,53.71852055216368,0.15,4.0,2.2676702193222176
VST-NCA,N/A,uniform,900,16,False,3,16,16,0.1,1,702.3569573318388,0.04981494652816527,0.0004623116085424848,0.5625,0.875,0,46.3942453943655,0.15,4.0,2.2301279074652123
VST-CA,mixed,zipfian,900,16,False,3,16,16,0.1,1,721.2541851197725,0.05094437827504242,0.00043896615441022094,0.5625,1.1875,5,154.6402735156771,0.15,4.0,2.2685373593195397
