Column 0,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
Hotspot,0,2500,203,50,15,2,.04540979503735798000,565.32196315976980000000,0
eVST-RS,0,2500,203,50,15,3,.12653508823871107000,663.02741354929040000000,0
Hotspot,0,2500,203,50,15,3,.05248452378415891000,660.86055864844970000000,0
eVST-RS,0,2500,203,50,15,4,.06385019670446468000,512.92775382501970000000,0
Hotspot,0,2500,203,50,15,4,.03457782556898792000,475.36578335286020000000,0
eVST-RS,0,2500,200,50,10,5,.44226133942197520000,1132.84182361879360000000,0
Hotspot,0,2500,200,50,10,5,.10823798121140271000,1126.33156053654170000000,0
eVST-RS,0,2500,200,50,15,5,.09216134897496886000,527.33872872446800000000,0
Hotspot,0,2500,200,50,15,5,.05068485363815966600,545.50190150294670000000,0
eVST-RS,0,2500,198,50,10,6,.37734886757758090000,1024.74259575890940000000,0
Hotspot,0,2500,198,50,10,6,.10162432171898672000,975.38116499640740000000,0
eVST-RS,0,2500,198,50,15,6,.26640447300334813000,579.86158291993090000000,0
Hotspot,0,2500,198,50,15,6,.06604264416898786000,589.49589550791250000000,0
eVST-RS,0,2500,203,50,10,7,.39407762858820660000,1144.88642078503040000000,0
Hotspot,0,2500,203,50,10,7,.09953964129758220000,1212.79173204581730000000,0
eVST-RS,0,2500,203,50,15,7,.06709031351920203000,558.95560779156110000000,0
Hotspot,0,2500,203,50,15,7,.04046672208971813000,556.25231005027580000000,0
eVST-RS,0,2500,200,50,10,8,.59587871983805480000,1068.50127058108270000000,0
Hotspot,0,2500,200,50,10,8,.07267998872589487000,988.88755514953160000000,0
eVST-RS,0,2500,200,50,15,8,.08481739999572824000,525.69984683194650000000,0
Hotspot,0,2500,200,50,15,8,.03673711394330326000,519.10082716656960000000,0
eVST-RS,0,2500,202,50,10,9,.55916844896776750000,1060.16537843605900000000,0
Hotspot,0,2500,202,50,10,9,.11259248030785330000,1081.61959913994130000000,0
eVST-RS,0,2500,202,50,15,9,.12754525623688550000,675.80491010883770000000,0
Hotspot,0,2500,202,50,15,9,.06954763895433302000,614.07782187816090000000,0
eVST-RS,0,2500,203,50,10,10,.31895176220825760000,1096.85633355972530000000,0
Hotspot,0,2500,203,50,10,10,.07852388362422857000,1054.74856528588070000000,0
eVST-RS,0,2500,203,50,15,10,.09943819027159861000,654.34791222529040000000,0
Hotspot,0,2500,203,50,15,10,.04214322990065966000,627.47721312609610000000,0
eVST-RS,0,2500,199,60,15,1,.18005188608117350000,784.03623786436650000000,0
Hotspot,0,2500,199,60,15,1,.05636453208973080000,788.80153641864870000000,0
eVST-RS,0,2500,203,60,10,2,1.90022350805804760000,1569.62053771022740000000,0
Hotspot,0,2500,203,60,10,2,.11455241938989502000,1445.95172697476400000000,0
eVST-RS,0,2500,203,60,15,2,.20120028011535850000,913.29624119562780000000,0
Hotspot,0,2500,203,60,15,2,.06149669080173226000,868.50356905128000000000,0
eVST-RS,0,2500,199,60,15,3,.08901202490721971000,759.05236777781250000000,0
Hotspot,0,2500,199,60,15,3,.05626979183199410000,795.50491093482030000000,0
eVST-RS,0,2500,203,60,15,4,.14692003369594886000,741.30731779730010000000,0
Hotspot,0,2500,203,60,15,4,.08664707122335358000,817.60842436663860000000,0
eVST-RS,0,2500,201,60,15,5,.17728626005731485000,856.34808822304320000000,0
Hotspot,0,2500,201,60,15,5,.05476263223175692500,789.28247303056750000000,0
eVST-RS,0,2500,202,60,10,6,1.32496697907265570000,1404.56522457437880000000,0
Hotspot,0,2500,202,60,10,6,.09792392515203119000,1374.64673846002260000000,0
eVST-RS,0,2500,202,60,15,6,.14252132247924010000,884.70475210013820000000,0
Hotspot,0,2500,202,60,15,6,.06466851568069387000,815.91199298056150000000,0
eVST-RS,0,2500,202,60,15,7,.25158472818628750000,932.67047544431010000000,0
Hotspot,0,2500,202,60,15,7,.06405704626718034000,926.40380180566550000000,0
eVST-RS,0,2500,199,60,15,8,.35339892517180260000,987.97306357391870000000,0
Hotspot,0,2500,199,60,15,8,.06975606752138219000,933.96337642804850000000,0
eVST-RS,0,2500,200,60,15,9,.31896873650447330000,901.36519349366850000000,0
Hotspot,0,2500,200,60,15,9,.09194068312461923000,848.63781309035320000000,0
eVST-RS,0,2500,200,60,15,10,.12084001449528614000,761.75047774023200000000,0
Hotspot,0,2500,200,60,15,10,.05187187011745209000,702.25431451289760000000,0
eVST-RS,0,2500,202,70,15,1,.32692533915036390000,1229.29508167927320000000,0
Hotspot,0,2500,202,70,15,1,.08964046861689212000,1197.64842731481920000000,0
eVST-RS,0,2500,201,70,15,3,.17178816709974853000,1014.24728777105800000000,0
Hotspot,0,2500,201,70,15,3,.07480690751219754000,1045.59369724490060000000,0
eVST-RS,0,2500,203,70,15,4,.36843144081774426000,1124.48010522645270000000,0
Hotspot,0,2500,203,70,15,4,.08509372574752660000,1067.04342777512740000000,0
eVST-RS,0,2500,198,70,15,6,.36715086833390840000,1254.65140310307240000000,0
Hotspot,0,2500,198,70,15,6,.08442383317503754000,1193.24308706851500000000,0
eVST-RS,0,2500,202,70,15,7,.19534849019561307000,999.32643851663110000000,0
Hotspot,0,2500,202,70,15,7,.09827170084815862000,1009.00789355526670000000,0
eVST-RS,0,2500,199,70,15,8,.48251923819356080000,1246.03017705877410000000,0
Hotspot,0,2500,199,70,15,8,.09137539958675234000,1186.43931053094000000000,0
eVST-RS,0,2500,199,70,15,9,.35713248082890914000,969.56081296684650000000,0
Hotspot,0,2500,199,70,15,9,.10817758429709556000,975.78678499060490000000,0
eVST-RS,0,2500,202,70,15,10,.44793114909668930000,1098.80611964644460000000,0
Hotspot,0,2500,202,70,15,10,.07753503218407332000,1047.27134038213420000000,0
eVST-RS,0,2500,272,30,10,1,.27324471961225070000,581.02364401342880000000,0
Hotspot,0,2500,272,30,10,1,.05983360452734132000,608.78665591724120000000,0
eVST-RS,0,2500,271,30,5,2,1.62375288266969160000,1106.93425193220040000000,0
Hotspot,0,2500,271,30,5,2,.13170593255597396000,1090.27618842398500000000,0
eVST-RS,0,2500,271,30,10,2,.08474950281106430000,502.94483497982850000000,0
Hotspot,0,2500,271,30,10,2,.05183200025896895000,559.94000831171540000000,0
eVST-RS,0,2500,270,30,5,3,1.31371499446169080000,1024.14306874830280000000,0
Hotspot,0,2500,270,30,5,3,.11704921993242579000,980.24328755131230000000,0
eVST-RS,0,2500,270,30,10,3,.14809639189621748000,495.47720808700456000000,0
Hotspot,0,2500,270,30,10,3,.05784800662547695500,484.03263060998370000000,0
eVST-RS,0,2500,268,30,10,4,.10981343274744404000,524.48510151004970000000,0
Hotspot,0,2500,268,30,10,4,.04324971716084747000,528.04516166596810000000,0
eVST-RS,0,2500,270,30,10,5,.09205555568723867000,470.75160465595740000000,0
Hotspot,0,2500,270,30,10,5,.05520317443017575000,507.22408832833850000000,0
eVST-RS,0,2500,264,30,5,6,2.11046042975760900000,1185.27047685681800000000,0
Hotspot,0,2500,264,30,5,6,.12228835618554967000,1011.49233876884350000000,0
eVST-RS,0,2500,264,30,10,6,.46489597124946160000,668.82563486368370000000,0
Hotspot,0,2500,264,30,10,6,.06238606497129240000,583.43728838311510000000,0
eVST-RS,0,2500,270,30,5,7,.60620422367856010000,947.97188449766280000000,0
Hotspot,0,2500,270,30,5,7,.08402355558598629000,909.46707840187640000000,0
eVST-RS,0,2500,270,30,10,7,.15603799400139450000,607.05191485229330000000,0
Hotspot,0,2500,270,30,10,7,.04517649715262450600,557.29403970925680000000,0
eVST-RS,0,2500,272,30,10,8,.16125383994108233000,523.62786570006540000000,0
Hotspot,0,2500,272,30,10,8,.07134612484719582000,537.66697326906740000000,0
eVST-RS,0,2500,269,30,5,9,.32912173412569246000,936.60273963217210000000,0
Hotspot,0,2500,269,30,5,9,.08148649043403111000,934.09360940976830000000,0
eVST-RS,0,2500,269,30,10,9,.07928575319692754000,514.00316283607660000000,0
Hotspot,0,2500,269,30,10,9,.03924812552452295000,481.42451411614644000000,0
eVST-RS,0,2500,270,30,5,10,.70234821623830610000,966.67186763302810000000,0
Hotspot,0,2500,270,30,5,10,.11064872601991738000,971.15027075398370000000,0
eVST-RS,0,2500,270,30,10,10,.08816686285797459000,488.30563466890464000000,0
Hotspot,0,2500,270,30,10,10,.04080068149824001000,455.76218421160183000000,0
eVST-RS,0,2500,270,40,10,1,.26236893277473430000,862.06639420057660000000,0
Hotspot,0,2500,270,40,10,1,.06742072016811562000,706.14580748802930000000,0
eVST-RS,0,2500,270,40,15,1,.10299173943906226000,367.10207007400066000000,0
Hotspot,0,2500,270,40,15,1,.03161719251454542000,351.01127428562550000000,0
eVST-RS,0,2500,271,40,10,2,.61948917632025770000,867.29928705061770000000,0
Hotspot,0,2500,271,40,10,2,.07839164201448057000,893.82953334897930000000,0
eVST-RS,0,2500,271,40,15,2,.04881175979244290000,357.88642562934615000000,0
Hotspot,0,2500,271,40,15,2,.02428548081866211000,363.86070930506310000000,0
eVST-RS,0,2500,270,40,15,3,.04364604723912180000,264.37481351976800000000,0
Hotspot,0,2500,270,40,15,3,.02320623138257360600,262.26833403772200000000,0
eVST-RS,0,2500,268,40,10,4,.32262689470644546000,763.02272923198620000000,0
Hotspot,0,2500,268,40,10,4,.06158432554025239400,782.84227556775780000000,0
eVST-RS,0,2500,268,40,15,4,.03617419891190820600,270.53964864362940000000,0
Hotspot,0,2500,268,40,15,4,.02291845784964152700,271.93882999626186000000,0
eVST-RS,0,2500,270,40,10,5,.46058489477127296000,851.68220243964710000000,0
Hotspot,0,2500,270,40,10,5,.07465098083798694000,867.39451880889420000000,0
eVST-RS,0,2500,270,40,15,5,.06546275484140551000,385.04464574812460000000,0
Hotspot,0,2500,270,40,15,5,.03100651260319864400,379.19250250773297000000,0
eVST-RS,0,2500,272,40,10,6,.98936461656637680000,919.22416067070830000000,0
Hotspot,0,2500,272,40,10,6,.08369314893718638000,906.21776090254760000000,0
eVST-RS,0,2500,272,40,15,6,.08115332052761914000,350.58689769495646000000,0
Hotspot,0,2500,272,40,15,6,.05237162497701320000,362.86587482227276000000,0
eVST-RS,0,2500,269,40,10,7,.37823389948539443000,806.71792365649970000000,0
Hotspot,0,2500,269,40,10,7,.09771312807856702000,721.41653378306840000000,0
eVST-RS,0,2500,269,40,15,7,.03260841246117252000,267.79122647850990000000,0
Hotspot,0,2500,269,40,15,7,.03388266892773117400,268.57963889465356000000,0
eVST-RS,0,2500,271,40,10,8,.33021558935149640000,1014.90627029343260000000,0
Hotspot,0,2500,271,40,10,8,.10354596994682197000,924.27399193480900000000,0
eVST-RS,0,2500,271,40,15,8,.08767579252196356000,386.77488189195000000000,0
Hotspot,0,2500,271,40,15,8,.04223046988806800000,396.68274961006614000000,0
eVST-RS,0,2500,267,40,10,9,.37635488437342700000,876.02706834194230000000,0
Hotspot,0,2500,267,40,10,9,.07316158503613224000,863.92433349045330000000,0
eVST-RS,0,2500,267,40,15,9,.04322840060285671000,329.83642007270330000000,0
Hotspot,0,2500,267,40,15,9,.02586132710564470500,347.08939936154110000000,0
eVST-RS,0,2500,267,40,10,10,.69118702437424420000,925.01511574862670000000,0
Hotspot,0,2500,267,40,10,10,.08477279312444352000,895.58224359213640000000,0
eVST-RS,0,2500,267,40,15,10,.07423451845500040000,403.07636652289875000000,0
Hotspot,0,2500,267,40,15,10,.03800505439278368000,432.12741930570644000000,0
eVST-RS,0,2500,270,50,15,1,.06555512659269880000,515.05277702524190000000,0
Hotspot,0,2500,270,50,15,1,.04201177779304999000,527.27282088241910000000,0
eVST-RS,0,2500,269,50,15,2,.19009632715699354000,744.68754146935330000000,0
Hotspot,0,2500,269,50,15,2,.06911538652832405000,819.65811668023080000000,0
eVST-RS,0,2500,272,50,15,3,.15664827916168633000,618.52505775444440000000,0
Hotspot,0,2500,272,50,15,3,.06255028141811181000,606.30601596189630000000,0
eVST-RS,0,2500,265,50,10,4,.61007752121588510000,1077.43587485474400000000,0
Hotspot,0,2500,265,50,10,4,.13884934798966242000,1022.99558075167020000000,0
eVST-RS,0,2500,265,50,15,4,.08972612959985327000,534.48991490064950000000,0
Hotspot,0,2500,265,50,15,4,.05348719151186287500,517.62510616541400000000,0
eVST-RS,0,2500,266,50,10,5,.36432247688935604000,991.99657360380160000000,0
Hotspot,0,2500,266,50,10,5,.10350412633295036000,950.89078636328770000000,0
eVST-RS,0,2500,266,50,15,5,.18988671433680793000,658.93635863026820000000,0
Hotspot,0,2500,266,50,15,5,.07621024757997930000,630.47777118373110000000,0
eVST-RS,0,2500,271,50,15,6,.19296774646875292000,642.72494449545540000000,0
Hotspot,0,2500,271,50,15,6,.08379341570991983000,596.80936701899450000000,0
eVST-RS,0,2500,267,50,15,7,.08998587580663298000,576.44465890619240000000,0
Hotspot,0,2500,267,50,15,7,.04568730504229279000,544.69347339541130000000,0
eVST-RS,0,2500,267,50,10,8,.26639144621799460000,876.55308602204000000000,0
Hotspot,0,2500,267,50,10,8,.07351528199831137000,826.43072073942940000000,0
eVST-RS,0,2500,267,50,15,8,.06865076451435925000,530.72391229505980000000,0
Hotspot,0,2500,267,50,15,8,.04310168550807702600,546.97150574503660000000,0
eVST-RS,0,2500,267,50,10,9,1.20838198640319660000,1261.77455119723410000000,0
Hotspot,0,2500,267,50,10,9,.10477798804845406000,1161.38859579023640000000,0
eVST-RS,0,2500,267,50,15,9,.15717014008134810000,623.73802460224920000000,0
Hotspot,0,2500,267,50,15,9,.04530479125173770000,586.02357421272050000000,0
eVST-RS,0,2500,271,50,10,10,.75825523183345920000,1158.87607719749900000000,0
Hotspot,0,2500,271,50,10,10,.10370347562525240000,1094.28399030745000000000,0
eVST-RS,0,2500,271,50,15,10,.09359705863084855000,534.67714778607790000000,0
Hotspot,0,2500,271,50,15,10,.04890136828623781000,568.79107289700470000000,0
eVST-RS,0,2500,270,60,15,1,.14597736813152550000,878.33189875602770000000,0
Hotspot,0,2500,270,60,15,1,.09233898695822518000,841.70824733826900000000,0
eVST-RS,0,2500,268,60,15,2,.15979957698482394000,770.55414591552220000000,0
Hotspot,0,2500,268,60,15,2,.08733235908766801000,732.12746990013300000000,0
eVST-RS,0,2500,269,60,15,3,.14034703356401224000,805.16092751050810000000,0
Hotspot,0,2500,269,60,15,3,.06634344448730190000,758.26714541307600000000,0
eVST-RS,0,2500,261,60,15,4,.57777306708157990000,990.70052869703020000000,0
Hotspot,0,2500,261,60,15,4,.08217296255156725000,899.97932124015640000000,0
eVST-RS,0,2500,268,60,15,5,.14569709486886495000,839.42874861283380000000,0
Hotspot,0,2500,268,60,15,5,.07132441353803642000,849.50651042800370000000,0
eVST-RS,0,2500,267,60,15,6,.11607576378412432000,732.39915615051340000000,0
Hotspot,0,2500,267,60,15,6,.06001242676381935000,733.96922572491270000000,0
eVST-RS,0,2500,267,60,15,7,.19712250152178967000,847.48724178593600000000,0
Hotspot,0,2500,267,60,15,7,.09373482675562173000,839.65379614547920000000,0
eVST-RS,0,2500,269,60,15,8,.18597473119427832000,898.79979014429980000000,0
Hotspot,0,2500,269,60,15,8,.07753463743301836000,879.95110311087750000000,0
eVST-RS,0,2500,266,60,15,9,.15245207524594662000,818.51860528851230000000,0
Hotspot,0,2500,266,60,15,9,.06625028323389870000,795.86038232468520000000,0
eVST-RS,0,2500,267,60,15,10,.12859489934248813000,842.78985759091620000000,0
Hotspot,0,2500,267,60,15,10,.06740650912934143000,857.70572449218460000000,0
eVST-RS,0,2500,269,70,15,1,.40503157613841270000,1149.77665810588810000000,0
Hotspot,0,2500,269,70,15,1,.10254803923191957000,1126.89895324598320000000,0
eVST-RS,0,2500,265,70,15,2,.37982079880248420000,1008.67817802477460000000,0
Hotspot,0,2500,265,70,15,2,.07920601347996126000,974.25816579595890000000,0
eVST-RS,0,2500,265,70,15,3,.35516701523170013000,1221.71660281577700000000,0
Hotspot,0,2500,265,70,15,3,.12568755768302253000,1110.29261533301700000000,0
eVST-RS,0,2500,269,70,15,5,.23196481031027360000,1095.59276568643300000000,0
Hotspot,0,2500,269,70,15,5,.08130845769960615000,1008.63719669311330000000,0
eVST-RS,0,2500,269,70,15,6,.53804650325560030000,1069.38954955927970000000,0
Hotspot,0,2500,269,70,15,6,.09164619882358238000,1060.31914110256400000000,0
eVST-RS,0,2500,265,70,15,8,.51665533731079450000,1197.01815053525730000000,0
Hotspot,0,2500,265,70,15,8,.11656288660947212000,1153.58841912191500000000,0
eVST-RS,0,2500,269,70,15,9,.69886848552164340000,1143.96357880790010000000,0
Hotspot,0,2500,269,70,15,9,.09731324524068441000,1145.67721074695370000000,0
eVST-RS,0,2500,267,70,15,10,.58879175380798190000,1157.96183826373230000000,0
Hotspot,0,2500,267,70,15,10,.10480838388139091000,1200.24750306629330000000,0
eVST-RS,0,3600,283,30,5,1,.79981659865097750000,1156.83289148342830000000,0
Hotspot,0,3600,283,30,5,1,.12132003180113315000,1124.64075199640640000000,0
eVST-RS,0,3600,283,30,10,1,.16495186800148076000,615.41262936066350000000,0
Hotspot,0,3600,283,30,10,1,.06862668469898381000,662.39946534785330000000,0
eVST-RS,0,3600,283,30,10,2,.34165665972705030000,655.04369829138230000000,0
Hotspot,0,3600,283,30,10,2,.09108288904099027000,654.77769092618810000000,0
eVST-RS,0,3600,279,30,10,3,.13839143674385923000,563.78455430874680000000,0
Hotspot,0,3600,279,30,10,3,.06094364454702372000,562.43133008612390000000,0
eVST-RS,0,3600,283,30,10,4,.38890441576450030000,723.42818577061700000000,0
Hotspot,0,3600,283,30,10,4,.09518632645449543000,658.13432985999580000000,0
eVST-RS,0,3600,282,30,5,5,2.76396096385565200000,1373.35241739315850000000,0
Hotspot,0,3600,282,30,5,5,.15500256193445240000,1309.06541661212650000000,0
eVST-RS,0,3600,282,30,10,5,.83896722066037910000,615.55187495403920000000,0
Hotspot,0,3600,282,30,10,5,.06750243364035668000,612.74579015052420000000,0
eVST-RS,0,3600,281,30,10,6,.13936173488377790000,650.98149609575060000000,0
Hotspot,0,3600,281,30,10,6,.06269831307076856000,695.94065430085120000000,0
eVST-RS,0,3600,282,30,10,7,.14842995655362756000,545.19930293544340000000,0
Hotspot,0,3600,282,30,10,7,.05299888443346390000,534.81604110790030000000,0
eVST-RS,0,3600,279,30,5,8,.88422819454285670000,1167.98033248085560000000,0
Hotspot,0,3600,279,30,5,8,.11150533585032463000,1049.34570955966360000000,0
eVST-RS,0,3600,279,30,10,8,.22901601978810504000,589.71418434095770000000,0
Hotspot,0,3600,279,30,10,8,.07361752252654696000,670.89905192507600000000,0
eVST-RS,0,3600,281,30,10,9,.18043163661423023000,667.87973921026410000000,0
Hotspot,0,3600,281,30,10,9,.07476545864938089000,677.52112141929330000000,0
eVST-RS,0,3600,280,30,10,10,.40308032158009155000,576.30431042228660000000,0
Hotspot,0,3600,280,30,10,10,.05426327212330761500,558.20150437010830000000,0
eVST-RS,0,3600,279,40,10,1,.90804984284955030000,1054.26669393809880000000,0
Hotspot,0,3600,279,40,10,1,.09827762211421032000,1045.56459198925950000000,0
eVST-RS,0,3600,279,40,15,1,.05807538324415873000,362.45445804058414000000,0
Hotspot,0,3600,279,40,15,1,.03405083288521382000,362.45445804058414000000,0
eVST-RS,0,3600,279,40,10,2,.58872188286773050000,1174.58359020323060000000,0
Hotspot,0,3600,279,40,10,2,.12220545845980268000,1026.62443937847370000000,0
eVST-RS,0,3600,279,40,15,2,.07606103167404399000,336.58854544717735000000,0
Hotspot,0,3600,279,40,15,2,.03813532224717164400,335.67604583556650000000,0
eVST-RS,0,3600,283,40,15,3,.09190870828751940000,435.63861579714484000000,0
Hotspot,0,3600,283,40,15,3,.04217007297370401000,453.14310465454093000000,0
eVST-RS,0,3600,284,40,10,4,.37132733469616140000,1021.61290638060270000000,0
Hotspot,0,3600,284,40,10,4,.08562427119068161000,917.54071590569170000000,0
eVST-RS,0,3600,284,40,15,4,.09267807813057516000,440.25506545017810000000,0
Hotspot,0,3600,284,40,15,4,.05990584397386556000,430.41100467000393000000,0
eVST-RS,0,3600,282,40,10,5,.64826021359181140000,1030.61550119948010000000,0
Hotspot,0,3600,282,40,10,5,.14145470507742175000,1048.69787822091530000000,0
eVST-RS,0,3600,282,40,15,5,.07553403899032674000,372.80037621845350000000,0
Hotspot,0,3600,282,40,15,5,.04640614674804055500,375.62191997989925000000,0
eVST-RS,0,3600,279,40,10,6,.37762479857815380000,915.73715573165660000000,0
Hotspot,0,3600,279,40,10,6,.12828659875367520000,1011.80969113137030000000,0
eVST-RS,0,3600,279,40,15,6,.08559545436241933000,380.94696926767915000000,0
Hotspot,0,3600,279,40,15,6,.05426011411464060000,376.20507771776437000000,0
eVST-RS,0,3600,279,40,15,7,.05749312541001927500,377.98607683287410000000,0
Hotspot,0,3600,279,40,15,7,.03714133904304617000,391.56637134193414000000,0
eVST-RS,0,3600,283,40,10,8,.44601384313045855000,1060.44617044936040000000,0
Hotspot,0,3600,283,40,10,8,.10693885542718817000,1103.31402440287820000000,0
eVST-RS,0,3600,283,40,15,8,.09491986947955411000,470.59763030574900000000,0
Hotspot,0,3600,283,40,15,8,.04756000413703987000,458.00817180779020000000,0
eVST-RS,0,3600,280,40,10,9,.69416344747173750000,933.42611076735080000000,0
Hotspot,0,3600,280,40,10,9,.08366117410014340000,904.20699962722050000000,0
eVST-RS,0,3600,280,40,15,9,.09037036335257653000,363.61711172682760000000,0
Hotspot,0,3600,280,40,15,9,.03275289135422099000,318.22505003651196000000,0
eVST-RS,0,3600,283,40,10,10,.46052489260796390000,1005.07619785101290000000,0
Hotspot,0,3600,283,40,10,10,.14677634430495345000,1014.01547408206250000000,0
eVST-RS,0,3600,283,40,15,10,.11083860128655942000,360.01328564863830000000,0
Hotspot,0,3600,283,40,15,10,.05098841721405733600,385.74139989446854000000,0
eVST-RS,0,3600,281,50,10,1,.79947948123390230000,1302.36050129372800000000,0
Hotspot,0,3600,281,50,10,1,.13826116888958495000,1353.07008814179130000000,0
eVST-RS,0,3600,281,50,15,1,.15770779104400390000,614.07857981667000000000,0
Hotspot,0,3600,281,50,15,1,.06195341779425689000,623.24053674414770000000,0
eVST-RS,0,3600,281,50,15,2,.28893015353446570000,932.86516424580530000000,0
