Hotspot, 0, 2500, 205, 30, 15, 4, 0.0005790998254369129, 0, 0
eVST-RS, 0, 2500, 203, 30, 5, 5, , , 0
Hotspot, 0, 2500, 203, 30, 5, 5, 0.12864858548847735, 999.7637781350371, 0
eVST-RS, 0, 2500, 203, 30, 10, 5, 0.14235552702820797, 686.6991222030518, 0
Hotspot, 0, 2500, 203, 30, 10, 5, 0.058511583180759885, 692.9688823230856, 0
eVST-RS, 0, 2500, 203, 30, 15, 5, 9.552975988924572e-05, 0, 0
Hotspot, 0, 2500, 203, 30, 15, 5, 0.0002301398760948814, 0, 0
eVST-RS, 0, 2500, 204, 30, 5, 6, , , 0
Hotspot, 0, 2500, 204, 30, 5, 6, 0.16776052189249668, 1175.940954435322, 0
eVST-RS, 0, 2500, 204, 30, 10, 6, 0.1648741020399953, 560.9641115027251, 0
Hotspot, 0, 2500, 204, 30, 10, 6, 0.054022473968139195, 573.9408533693204, 0
eVST-RS, 0, 2500, 204, 30, 15, 6, 9.158224914784796e-05, 0, 0
Hotspot, 0, 2500, 204, 30, 15, 6, 0.00026053570878303844, 0, 0
eVST-RS, 0, 2500, 205, 30, 5, 7, , , 0
Hotspot, 0, 2500, 205, 30, 5, 7, 0.12667719862532323, 1155.2440282498083, 0
eVST-RS, 0, 2500, 205, 30, 10, 7, 0.23298168907668781, 503.64467508412946, 0
Hotspot, 0, 2500, 205, 30, 10, 7, 0.03910956789758302, 496.11967062070073, 0
eVST-RS, 0, 2500, 205, 30, 15, 7, 9.197700022411937e-05, 0, 0
Hotspot, 0, 2500, 205, 30, 15, 7, 0.0002305346271711528, 0, 0
eVST-RS, 0, 2500, 203, 30, 5, 8, , , 0
Hotspot, 0, 2500, 203, 30, 5, 8, 0.06808469147440377, 827.1057989477073, 0
eVST-RS, 0, 2500, 203, 30, 10, 8, 0.37257987985356067, 609.0756919563883, 0
Hotspot, 0, 2500, 203, 30, 10, 8, 0.04753868757899937, 526.0974984876954, 0
eVST-RS, 0, 2500, 203, 30, 15, 8, 8.526623196303262e-05, 0, 0
Hotspot, 0, 2500, 203, 30, 15, 8, 0.00022974512501861, 0, 0
eVST-RS, 0, 2500, 205, 30, 5, 9, , , 0
Hotspot, 0, 2500, 205, 30, 5, 9, 0.08095831349709215, 926.8070085783509, 0
eVST-RS, 0, 2500, 205, 30, 10, 9, 0.11515599378188313, 558.5832758862513, 0
