['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 2, 16, 8, 0.25, 2, 1088.2037928246077, 0.045829111729146346, 0.4, 0, 5.428307222723561, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 2, 16, 8, 0.25, 2, 1088.0635464943002, 0.04485446840316322, 0.3, '50(*)', 232.69387390651355, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 2, 16, 8, 0.25, 2, 1088.0546082365656, 0.044668577851694036, 0.25, '50(*)', 254.07795721961884, 0.22, 4.0]
	sample: 3
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 3, 16, 8, 0.25, 2, 1075.4261346917901, 0.04497264835366675, 0.5, 0, 7.536915179733114, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 3, 16, 8, 0.25, 2, 1109.3416320414744, 0.04587914063179614, 0.4, 0, 11.492352069100889, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 3, 16, 8, 0.25, 2, 1078.0496121382473, 0.04382488808772557, 0.2727272727272727, '50(*)', 247.40940844061424, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 3, 16, 8, 0.25, 2, 1111.0759832576316, 0.04514338914627151, 0.3, '50(*)', 540.6725242559523, 0.22, 4.0]
	sample: 4
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 4, 16, 8, 0.25, 2, 1101.1429357935458, 0.045781327437474, 0.3, 0, 11.78163254728679, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 4, 16, 8, 0.25, 2, 1049.197823581927, 0.0440219324325761, 0.4, 0, 5.687847828576196, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 4, 16, 8, 0.25, 2, 1089.055742914467, 0.044614222952671666, 0.25, '50(*)', 555.1395080918173, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 4, 16, 8, 0.25, 2, 1058.0557807223454, 0.04362740683868031, 0.3, '50(*)', 117.56220284631308, 0.22, 4.0]
(nq, nu, np): (16, 16, 4)
	sample: 0
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 0, 16, 16, 0.25, 4, 1729.8475763642307, 0.07176434803576641, 0.5, 0, 16.847377504045653, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 0, 16, 16, 0.25, 4, 1474.3878908152833, 0.06102113406553199, 0.5, 0, 7.28396718422664, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 0, 16, 16, 0.25, 4, 1713.2588052012395, 0.06998003306453197, 0.5, '50(*)', 760.5573986104555, 0.22, 4.0]
