Dreyfus,0,900,72,6,0.7057154880227632,5,0.12237261479649231,181.0,4,0,0,780,483,870,694,117,142
Gravitation 2,0,900,72,6,0.3626085672712458,5,0.1509382122845926,263.0,6,1,0,780,483,870,694,117,142
Gravitation 3,0,900,72,6,0.3626085672712458,5,0.14899799543822034,267.0,5,1,0,780,483,870,694,117,142
Spiders,0,900,72,6,0.3626085672712458,6,0.09209654740089945,252.0,7,0,0,693,492,366,600,335,113
Dreyfus,0,900,72,6,0.7057154880227632,6,0.11411554139352909,162.0,3,0,0,693,492,366,600,335,113
Gravitation 2,0,900,72,6,0.3626085672712458,6,0.1422611204229236,230.0,7,0,0,693,492,366,600,335,113
Gravitation 3,0,900,72,6,0.3626085672712458,6,0.14248494604894457,257.0,7,0,0,693,492,366,600,335,113
Spiders,0,900,72,6,0.3626085672712458,7,0.12166324151614027,211.0,4,1,0,557,335,329,594,273,637
Dreyfus,0,900,72,6,0.7057154880227632,7,0.11509097899828813,170.0,2,0,0,557,335,329,594,273,637
Gravitation 2,0,900,72,6,0.3626085672712458,7,0.12288579524415866,187.0,3,0,0,557,335,329,594,273,637
Gravitation 3,0,900,72,6,0.3626085672712458,7,0.11978342206091686,187.0,3,0,0,557,335,329,594,273,637
Spiders,0,900,72,6,0.3626085672712458,8,0.10323808967394132,260.0,10,1,0,486,651,724,495,6,492
Dreyfus,0,900,72,6,0.7057154880227632,8,0.1152548019873505,193.0,4,0,0,486,651,724,495,6,492
Gravitation 2,0,900,72,6,0.3626085672712458,8,0.12438072936363209,250.0,10,0,0,486,651,724,495,6,492
Gravitation 3,0,900,72,6,0.3626085672712458,8,0.12196799175121598,270.0,13,0,0,486,651,724,495,6,492
Spiders,0,900,72,6,0.3626085672712458,9,0.1349510623230019,259.0,9,2,0,493,882,44,97,857,691
Dreyfus,0,900,72,6,0.7057154880227632,9,0.11854902570718195,227.0,4,0,0,493,882,44,97,857,691
Gravitation 2,0,900,72,6,0.3626085672712458,9,0.16940165528327178,290.0,10,0,0,493,882,44,97,857,691
Gravitation 3,0,900,72,6,0.3626085672712458,9,0.16573399409921485,278.0,10,0,0,493,882,44,97,857,691
Spiders,0,900,72,6,0.3626085672712458,10,0.12786246132395895,221.0,4,0,0,408,299,137,81,638,247
Dreyfus,0,900,72,6,0.7057154880227632,10,0.11518808852915363,184.0,4,2,0,408,299,137,81,638,247
Gravitation 2,0,900,72,6,0.3626085672712458,10,0.11504123997028337,229.0,5,0,0,408,299,137,81,638,247
Gravitation 3,0,900,72,6,0.3626085672712458,10,0.11560968600462118,229.0,5,0,0,408,299,137,81,638,247
Spiders,0,1600,128,6,1.4608238046250985,1,0.223081909126007,323.0,7,3,0,725,832,534,1375,80,1071
Dreyfus,0,1600,128,6,3.0400833405047027,1,0.2885432070304148,281.0,5,1,0,725,832,534,1375,80,1071
Gravitation 2,0,1600,128,6,1.4608238046250985,1,0.4022683365295254,379.0,6,0,0,725,832,534,1375,80,1071
Gravitation 3,0,1600,128,6,1.4608238046250985,1,0.2598047072068699,383.0,6,0,0,725,832,534,1375,80,1071
Spiders,0,1600,128,6,1.4608238046250985,2,0.18897712083662555,258.0,5,1,0,945,809,982,125,990,110
Dreyfus,0,1600,128,6,3.0400833405047027,2,0.30018569237121717,235.0,1,0,0,945,809,982,125,990,110
Gravitation 2,0,1600,128,6,1.4608238046250985,2,0.31447303078845756,268.0,3,0,0,945,809,982,125,990,110
Gravitation 3,0,1600,128,6,1.4608238046250985,2,0.32317696593508316,268.0,3,0,0,945,809,982,125,990,110
Spiders,0,1600,128,6,1.4608238046250985,3,0.201321084373971,278.0,8,1,0,618,1209,334,477,1255,1309
Dreyfus,0,1600,128,6,3.0400833405047027,3,0.29162347397898714,252.0,3,1,0,618,1209,334,477,1255,1309
Gravitation 2,0,1600,128,6,1.4608238046250985,3,0.4479627130981818,277.0,8,0,0,618,1209,334,477,1255,1309
Gravitation 3,0,1600,128,6,1.4608238046250985,3,0.289070598628939,277.0,8,0,0,618,1209,334,477,1255,1309
Spiders,0,1600,128,6,1.4608238046250985,4,0.18600935883234726,286.0,7,2,0,529,52,862,989,713,1536
Dreyfus,0,1600,128,6,3.0400833405047027,4,0.2525712314199069,234.0,5,0,0,529,52,862,989,713,1536
Gravitation 2,0,1600,128,6,1.4608238046250985,4,0.26051289622465035,295.0,10,0,0,529,52,862,989,713,1536
Gravitation 3,0,1600,128,6,1.4608238046250985,4,0.2613414852705347,295.0,10,0,0,529,52,862,989,713,1536
Spiders,0,1600,128,6,1.4608238046250985,5,0.2588403227194469,299.0,9,0,0,500,604,468,1307,1046,301
Dreyfus,0,1600,128,6,3.0400833405047027,5,0.3710318321884145,243.0,4,1,0,500,604,468,1307,1046,301
Gravitation 2,0,1600,128,6,1.4608238046250985,5,0.2639065980004922,308.0,8,0,0,500,604,468,1307,1046,301
Gravitation 3,0,1600,128,6,1.4608238046250985,5,0.26657039927807347,308.0,8,0,0,500,604,468,1307,1046,301
Spiders,0,1600,128,6,1.4608238046250985,6,0.2605361867218896,361.0,7,1,0,1353,230,1067,1025,179,761
Dreyfus,0,1600,128,6,3.0400833405047027,6,0.25697550392346,281.0,4,2,0,1353,230,1067,1025,179,761
Gravitation 2,0,1600,128,6,1.4608238046250985,6,0.3617748464208823,475.0,9,1,0,1353,230,1067,1025,179,761
Gravitation 3,0,1600,128,6,1.4608238046250985,6,0.3562392084073167,475.0,9,1,0,1353,230,1067,1025,179,761
Spiders,0,1600,128,6,1.4608238046250985,7,0.36952900298513214,331.0,6,0,0,1336,1130,74,466,411,1272
Dreyfus,0,1600,128,6,3.0400833405047027,7,0.25476251193144606,301.0,6,1,0,1336,1130,74,466,411,1272
Gravitation 2,0,1600,128,6,1.4608238046250985,7,0.3412989465589682,359.0,12,0,0,1336,1130,74,466,411,1272
Gravitation 3,0,1600,128,6,1.4608238046250985,7,0.3431613968298066,437.0,15,0,0,1336,1130,74,466,411,1272
Spiders,0,1600,128,6,1.4608238046250985,8,0.1842005951314185,244.0,8,3,0,288,226,791,585,888,362
