Algorithm,Strategy,POIs dist,Net size,Min cap,Max cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MRL,Num it,Elapsed time,Alpha,Beta
VST-CA,mixed,uniform,10000,16,64,FALSE,8,16,16,0.25,4,5245.005996377098,0.007612655912617028,0.17647058823529413,6,794.2188841676107,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,9,16,16,0.25,4,5139.009155382097,0.007603344746635303,0.1875,0,234.50151191451732,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,9,16,16,0.25,4,5126.004274554839,0.007430407450910047,0.1875,9,518.470370028248,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,0,16,24,0.25,6,6298.017639232954,0.009403466803517153,0.1875,0,267.0728209877416,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,0,16,24,0.25,6,6306.006549584172,0.009106468362672617,0.16666666666666666,9,930.3272406731048,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,1,16,24,0.25,6,6286.016871235132,0.009344332560186876,0.20833333333333334,0,384.12645763559703,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,1,16,24,0.25,6,6291.005425446353,0.00897323929782971,0.1875,17,1764.9983147877065,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,2,16,24,0.25,6,6019.012104071877,0.00889826253842671,0.1875,0,212.50264367924683,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,2,16,24,0.25,6,6031.004180274666,0.008684973309279974,0.125,14,785.8954327549363,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,3,16,24,0.25,6,6264.022861905143,0.00922650134590068,0.2777777777777778,0,417.7599786358187,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,3,16,24,0.25,6,6286.007235957278,0.009123198490415395,0.21052631578947367,10,1411.5104523427144,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,4,16,24,0.25,6,6169.018954167448,0.009140743981370113,0.25,0,208.76723661501455,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,4,16,24,0.25,6,6177.003709016946,0.008823447098637584,0.125,18,945.7013925403808,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,5,16,24,0.25,6,5947.015130012245,0.00885472353180462,0.2,0,198.25961467101297,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,5,16,24,0.25,6,5939.004255442785,0.008500590815250382,0.13636363636363635,11,746.6649877704695,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,6,16,24,0.25,6,6060.028832405723,0.009061854667115912,0.29411764705882354,0,240.99734447807714,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,6,16,24,0.25,6,6056.0044638982445,0.008661555500621589,0.16666666666666666,15,1079.1769086045679,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,7,16,24,0.25,6,6097.0110140265615,0.00899936253420381,0.17647058823529413,0,273.76013456434157,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,7,16,24,0.25,6,6143.0044738654215,0.00882143715158973,0.16666666666666666,12,953.2414037988128,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,8,16,24,0.25,6,6257.014619284149,0.009248585844901581,0.19047619047619047,0,215.3934475282731,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,8,16,24,0.25,6,6283.006094947749,0.009157510782931368,0.125,6,618.2545132424711,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,9,16,24,0.25,6,6281.014645036381,0.009263534391954263,0.1875,0,372.3558948086429,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,9,16,24,0.25,6,6287.005005728296,0.009178640051674347,0.17647058823529413,9,934.3758915558574,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,0,16,32,0.25,8,7098.0288699752555,0.010505474235195144,0.25,0,279.32629483833443,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,0,16,32,0.25,8,7191.007715557951,0.010269170799001935,0.1875,9,865.6203870816971,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,1,16,32,0.25,8,7103.0259979721195,0.010543905594757678,0.29411764705882354,0,278.5158908926678,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,1,16,32,0.25,8,7170.004762710279,0.010082894696011742,0.17647058823529413,17,1513.3457823506324,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,2,16,32,0.25,8,7034.021245022776,0.010417532133497963,0.21739130434782608,0,297.2755813567928,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,2,16,32,0.25,8,7080.007117601705,0.010102474205163971,0.1724137931034483,14,1242.7124192527117,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,3,16,32,0.25,8,7113.027294529544,0.010509641997132932,0.25,0,206.49431709623605,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,3,16,32,0.25,8,7103.007744560499,0.010228254166885605,0.1875,10,591.4504439423108,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,4,16,32,0.25,8,7326.020243016693,0.010821673548348855,0.25,0,310.0848428793179,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,4,16,32,0.25,8,7290.00554549238,0.010387566181028283,0.16666666666666666,18,1299.2517152137298,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,5,16,32,0.25,8,7422.03005613683,0.010990539876756751,0.25,0,311.9576434976625,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,5,16,32,0.25,8,7408.007686981097,0.01066967514091969,0.21052631578947367,11,1248.8054833152491,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,6,16,32,0.25,8,7173.0145598814,0.010537058332520392,0.1875,0,289.37590774083947,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,6,16,32,0.25,8,7144.006085617894,0.010154747268414888,0.17647058823529413,15,1251.7232995106606,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,7,16,32,0.25,8,7096.0172520732285,0.010565351467778655,0.2222222222222222,0,345.24335073416296,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,7,16,32,0.25,8,7105.008730485347,0.010243126374992893,0.2222222222222222,12,916.0384886855172,0.15,4.0
